iter	F1_TP	F1_TP+FP	F1_TP+FN	Logloss_SumError	Logloss_SumWeight
0	137	170	154	190.4106818	308
1	134	170	154	177.9967061	308
2	135	169	154	167.2434816	308
3	136	167	154	156.7703011	308
4	135	165	154	150.1136687	308
5	134	164	154	145.489025	308
6	131	158	154	139.9476531	308
7	133	162	154	136.564733	308
8	135	163	154	133.674433	308
9	134	162	154	129.5283275	308
10	135	163	154	126.1744783	308
11	135	163	154	123.3087002	308
12	136	164	154	121.8856247	308
13	136	164	154	121.1172094	308
14	136	164	154	120.9956359	308
15	135	163	154	120.7169382	308
16	136	164	154	119.0620531	308
17	136	164	154	118.3982608	308
18	135	163	154	116.6543771	308
19	135	163	154	115.4313034	308
20	135	163	154	114.5257814	308
21	135	163	154	113.770325	308
22	135	164	154	114.2983242	308
23	135	164	154	113.9621896	308
24	134	163	154	113.1464902	308
25	134	163	154	112.7600088	308
26	134	163	154	112.5982086	308
27	134	162	154	112.4876926	308
28	134	161	154	111.312759	308
29	134	160	154	111.024505	308
30	134	158	154	110.2612079	308
31	134	159	154	110.2080371	308
32	134	161	154	110.5000703	308
33	134	161	154	110.507533	308
34	134	161	154	110.4605347	308
35	134	161	154	110.1895851	308
36	134	160	154	109.81939	308
37	134	160	154	109.2713956	308
38	135	161	154	109.0614327	308
39	134	160	154	108.6845443	308
40	134	160	154	108.4506284	308
41	134	160	154	107.5349167	308
42	134	160	154	107.5983664	308
43	134	160	154	107.6764581	308
44	134	160	154	107.5043998	308
45	134	160	154	107.7097758	308
46	134	160	154	107.6390025	308
47	134	159	154	107.2961879	308
48	134	159	154	106.854946	308
49	134	159	154	106.4915565	308
50	134	160	154	106.6979569	308
51	134	159	154	106.4049489	308
52	134	160	154	106.2582927	308
53	134	159	154	106.4521093	308
54	134	159	154	106.4530919	308
55	134	159	154	106.3500205	308
56	134	159	154	106.2871008	308
57	134	160	154	106.406216	308
58	134	160	154	106.9016106	308
59	134	160	154	106.5771193	308
60	134	160	154	107.1492179	308
61	134	160	154	106.825975	308
62	134	159	154	106.3197903	308
63	134	159	154	106.2821006	308
64	134	159	154	106.2182558	308
65	134	159	154	106.0907156	308
66	134	160	154	105.485192	308
67	134	160	154	105.2631698	308
68	134	160	154	104.8305717	308
69	135	161	154	104.8109001	308
70	134	160	154	104.744586	308
71	135	161	154	104.3636193	308
72	135	161	154	104.542117	308
73	135	161	154	103.8913023	308
74	135	161	154	103.7469579	308
75	135	160	154	103.5480356	308
76	135	160	154	103.759084	308
77	136	162	154	103.5745209	308
78	136	162	154	103.4607908	308
79	136	162	154	103.4622508	308
80	136	161	154	104.1433518	308
81	136	162	154	104.0796932	308
82	136	162	154	104.2756357	308
83	136	162	154	103.9898344	308
84	136	162	154	103.9964146	308
85	136	162	154	104.1877655	308
86	136	162	154	104.473021	308
87	136	162	154	104.4253451	308
88	136	162	154	104.438443	308
89	136	162	154	104.0536221	308
90	136	162	154	103.8064894	308
91	136	162	154	103.8213661	308
92	136	162	154	103.6224107	308
93	136	162	154	103.2523428	308
94	136	162	154	103.5296284	308
95	136	162	154	103.7957841	308
96	136	162	154	103.6750182	308
97	136	162	154	103.7656116	308
98	136	162	154	103.7436235	308
99	136	162	154	103.5925069	308
100	135	161	154	103.6965269	308
101	135	161	154	103.9219879	308
102	135	161	154	103.8406836	308
103	135	161	154	103.9359511	308
104	135	161	154	104.349454	308
105	135	161	154	104.4291655	308
106	135	161	154	104.2798154	308
107	135	161	154	104.2098763	308
108	135	161	154	104.8351409	308
109	135	161	154	104.8149686	308
110	135	161	154	104.6001025	308
111	135	162	154	105.0253264	308
112	135	162	154	104.9850322	308
113	135	162	154	105.085467	308
114	135	162	154	105.1808227	308
115	135	162	154	105.2586151	308
116	135	162	154	105.2547538	308
117	135	162	154	105.2760691	308
118	135	162	154	105.6410331	308
119	135	162	154	105.5781545	308
120	135	162	154	105.8045314	308
121	135	161	154	105.9529097	308
122	135	161	154	105.9583774	308
123	135	162	154	106.4391364	308
124	135	161	154	106.5103859	308
125	135	161	154	106.6712051	308
126	135	161	154	106.4393434	308
127	135	160	154	106.6720246	308
128	135	161	154	106.9085109	308
129	135	161	154	106.9026228	308
130	135	161	154	106.5495478	308
131	135	161	154	106.3310267	308
132	135	161	154	106.5816103	308
133	135	161	154	106.6651015	308
134	135	162	154	106.4316057	308
135	135	162	154	106.3443257	308
136	135	162	154	106.2057515	308
137	135	161	154	106.3855183	308
138	135	161	154	106.6409255	308
139	135	162	154	107.0390497	308
140	135	162	154	106.8167822	308
141	135	162	154	106.8785508	308
142	135	161	154	107.0034561	308
143	135	162	154	107.905858	308
