iter	Passed	Remaining
0	174	87064
1	292	72786
2	389	64573
3	498	61756
4	618	61260
5	713	58764
6	829	58412
7	939	57783
8	1045	57022
9	1140	55867
10	1240	55145
11	1334	54252
12	1420	53198
13	1518	52700
14	1603	51850
15	1694	51255
16	1785	50731
17	1873	50175
18	1960	49631
19	2055	49326
20	2143	48899
21	2226	48384
22	2314	47995
23	2399	47592
24	2500	47501
25	2586	47153
26	2675	46870
27	2751	46383
28	2834	46034
29	2914	45660
30	3004	45452
31	3079	45043
32	3160	44724
33	3241	44422
34	3323	44159
35	3400	43834
36	3477	43511
37	3559	43277
38	3647	43110
39	3731	42913
40	3809	42653
41	3898	42513
42	3977	42275
43	4074	42224
44	4149	41960
45	4235	41799
46	4319	41630
47	4389	41331
48	4463	41079
49	4546	40922
50	4629	40761
51	4707	40555
52	4792	40422
53	4866	40197
54	4945	40012
55	5027	39864
56	5121	39807
57	5201	39635
58	5287	39519
59	5388	39512
60	5484	39467
61	5572	39363
62	5660	39266
63	5757	39220
64	5848	39140
65	5934	39026
66	6028	38959
67	6124	38908
68	6215	38824
69	6306	38737
70	6390	38612
71	6486	38559
72	6567	38413
73	6652	38297
74	6738	38185
75	6825	38076
76	6909	37956
77	6996	37852
78	7082	37741
79	7190	37751
80	7285	37684
81	7388	37664
82	7467	37517
83	7554	37413
84	7648	37343
85	7735	37238
86	7817	37110
87	7905	37012
88	7989	36894
89	8093	36868
90	8180	36765
91	8267	36666
92	8345	36521
93	8424	36386
94	8505	36258
95	8592	36161
96	8675	36042
97	8757	35923
98	8827	35757
99	8911	35644
100	9000	35555
101	9099	35506
102	9197	35452
103	9288	35368
104	9369	35246
105	9456	35150
106	9536	35026
107	9621	34921
108	9705	34815
109	9789	34706
110	9872	34597
111	9947	34462
112	10040	34385
113	10126	34289
114	10212	34189
115	10299	34094
116	10381	33985
117	10474	33907
118	10557	33802
119	10633	33671
120	10716	33566
121	10796	33452
122	10887	33371
123	10971	33269
124	11059	33178
125	11142	33074
126	11225	32968
127	11309	32868
128	11395	32774
129	11489	32700
130	11576	32609
131	11665	32522
132	11751	32427
133	11830	32313
