iter	Passed	Remaining
0	50	25059
1	90	22607
2	115	19215
3	160	19926
4	192	19059
5	225	18545
6	257	18103
7	292	17999
8	338	18479
9	374	18347
10	416	18525
11	445	18112
12	475	17812
13	510	17713
14	545	17627
15	576	17442
16	613	17432
17	641	17183
18	670	16984
19	695	16681
20	712	16242
21	730	15869
22	742	15396
23	757	15030
24	774	14720
25	795	14498
26	815	14280
27	833	14057
28	852	13844
29	873	13684
30	884	13374
31	899	13162
32	913	12929
33	925	12682
34	940	12500
35	955	12314
36	971	12159
37	989	12030
38	1002	11845
39	1017	11702
40	1037	11615
41	1061	11578
42	1079	11475
43	1107	11481
44	1125	11376
45	1147	11325
46	1167	11250
47	1190	11209
48	1210	11143
49	1236	11129
50	1259	11091
51	1283	11056
52	1299	10963
53	1314	10854
54	1334	10799
55	1350	10704
56	1368	10639
57	1386	10563
58	1401	10479
59	1422	10430
60	1440	10367
61	1451	10255
62	1467	10182
63	1485	10122
64	1500	10039
65	1517	9979
66	1537	9938
67	1558	9903
68	1582	9884
69	1600	9834
70	1618	9779
71	1636	9729
72	1657	9693
73	1676	9653
74	1691	9583
75	1708	9533
76	1724	9470
77	1741	9424
78	1761	9386
79	1775	9319
80	1787	9246
81	1805	9203
82	1822	9154
83	1840	9113
84	1858	9073
85	1875	9027
86	1892	8982
87	1911	8951
88	1929	8908
89	1942	8847
90	1963	8823
91	1978	8773
92	1997	8742
93	2014	8699
94	2025	8634
95	2045	8610
96	2058	8554
97	2081	8537
98	2108	8540
99	2122	8488
100	2143	8467
101	2165	8447
102	2181	8410
103	2197	8366
104	2212	8322
105	2229	8287
106	2246	8252
107	2262	8213
108	2280	8180
109	2302	8161
110	2319	8129
111	2335	8089
112	2347	8039
113	2367	8017
114	2375	7954
115	2388	7906
116	2403	7866
117	2422	7842
118	2439	7809
119	2454	7774
120	2466	7724
121	2475	7668
122	2495	7650
123	2514	7623
124	2530	7590
125	2542	7545
126	2561	7523
127	2577	7490
128	2596	7466
129	2610	7429
130	2620	7382
131	2644	7371
132	2661	7344
133	2676	7309
134	2696	7291
135	2712	7261
136	2727	7227
137	2745	7201
138	2763	7176
139	2781	7152
140	2799	7128
141	2815	7098
142	2835	7079
143	2853	7054
144	2870	7027
145	2883	6992
146	2902	6970
147	2923	6953
148	2950	6951
149	2968	6926
150	2985	6900
151	2996	6859
152	3009	6824
153	3023	6793
154	3042	6772
155	3058	6744
156	3077	6722
157	3095	6701
158	3109	6669
159	3128	6647
160	3141	6614
161	3160	6593
162	3172	6559
163	3190	6535
164	3208	6515
165	3228	6496
166	3247	6474
167	3260	6444
168	3277	6419
169	3293	6393
170	3311	6371
171	3331	6352
172	3357	6345
173	3375	6323
174	3396	6308
175	3413	6283
176	3430	6259
177	3446	6233
178	3460	6206
179	3471	6171
180	3487	6146
181	3499	6115
182	3515	6089
183	3532	6067
184	3554	6052
185	3564	6018
186	3577	5987
187	3589	5956
188	3604	5931
189	3618	5904
190	3626	5867
191	3642	5843
192	3660	5822
193	3680	5804
194	3700	5787
195	3715	5763
196	3735	5745
197	3752	5724
198	3765	5695
199	3779	5669
200	3793	5643
201	3815	5628
202	3834	5610
203	3851	5588
204	3869	5568
205	3889	5551
206	3904	5526
207	3914	5495
208	3932	5475
209	3960	5469
210	3978	5449
211	3994	5426
212	4006	5398
213	4018	5370
214	4036	5350
215	4051	5326
216	4071	5309
217	4087	5287
218	4095	5254
219	4106	5226
220	4125	5208
221	4139	5184
222	4152	5158
223	4169	5136
224	4177	5106
225	4188	5078
226	4206	5058
227	4223	5038
228	4236	5013
229	4255	4995
230	4275	4978
231	4293	4959
232	4309	4938
233	4326	4918
234	4345	4900
235	4363	4881
236	4380	4860
237	4398	4842
238	4408	4813
239	4424	4793
240	4440	4772
241	4453	4748
242	4472	4730
243	4489	4710
244	4503	4687
245	4525	4672
246	4545	4655
247	4563	4637
248	4581	4618
249	4603	4603
250	4623	4586
251	4631	4557
252	4645	4535
253	4666	4519
254	4687	4503
255	4708	4488
256	4742	4484
257	4762	4466
258	4782	4449
259	4804	4434
260	4818	4412
261	4835	4392
262	4855	4375
263	4873	4356
264	4891	4338
265	4906	4316
266	4925	4298
267	4952	4287
